日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date
2017-01-01,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.2,,0.09,0.0,0.0,,,2017-01-01
2017-01-03,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.2,,0.09,0.0,0.0,,,2017-01-03
2017-01-04,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1621.02,,0.05,0.0,0.0,,,2017-01-04
2017-01-05,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.61,,-0.03,0.0,0.0,,,2017-01-05
2017-01-06,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.98,,0.02,0.0,0.0,,,2017-01-06
2017-01-09,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1622.31,,,0.0,0.0,5.0,,2017-01-09
2017-01-10,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.19,,,0.0,0.0,5.0,,2017-01-10
2017-01-11,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.28,,,0.0,0.0,5.0,,2017-01-11
2017-01-12,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.11,,,0.0,0.0,5.0,,2017-01-12
2017-01-13,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.93,,,0.0,0.0,5.0,,2017-01-13
2017-01-16,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.55,,,0.0,0.0,5.0,,2017-01-16
2017-01-17,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.4,,,0.0,0.0,5.0,,2017-01-17
2017-01-18,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1622.45,,,0.0,0.0,5.0,,2017-01-18
2017-01-19,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.18,,,0.0,0.0,5.0,,2017-01-19
2017-01-20,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.81,,,0.0,0.0,5.0,,2017-01-20
2017-01-23,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1622.07,,,0.0,0.0,5.0,,2017-01-23
